|                       `._          _'                        |
|                         '"-     ..-'                         |
|                           |     |                            |
|                           |     |                            |
|                           |     |                            |
|                           |     |                            |
|                           |     |                            |
|                           |     |                            |
|                           |     |                            |
|                           |     |                            |
|                           |     |                            |
|                           |     |                            |
|                           |     |                            |
|                           |     |                            |
|                           |     |                            |
|                           |     |                            |
|                           |     |                            |
|                           |     |                            |
|                           |     |                            |
|                           |     |                            |
|                           |     |                            |
|                           |     |                            |
|                           |     |                            |
|                           |     |                            |
|                           |     |                            |
|                           |     |                            |
|                           |     |                            |
|                           |     |                            |
|                           |     |                            |
|                           |     |                            |
|                         ,,'     `._                          |
|                       ./'         '".                        |
